Topology,fargate_vcpus,fargate_memorylevel,car_cache,latency,cost,complexity,scalability
1.1,14,3,1,0,6.5362,5,8.6836
1.1,12,1,1,0,6.4493,5,8.8668
1.1,14,3,10,0,2.1262,5,8.0052
1.1,16,3,10,0,2.1598,5,7.8807
1.1,4,3,4,0,2.7683,5,8.7836
1.1,10,3,9,0,2.1691,5,8.3034
1.1,4,1,3,0,3.0506,5,8.9061
1.1,12,2,5,0,2.516,5,8.3748
1.1,12,1,9,0,2.1493,5,8.3798
1.1,14,1,9,0,2.174,5,8.2847
1.1,2,3,5,0,2.3748,5,8.8824
1.1,2,2,2,0,4.0803,5,8.9734
1.1,16,3,2,0,4.3198,5,8.4404
1.1,4,2,3,0,3.0595,5,8.8499
1.1,12,1,8,0,2.1743,5,8.3869
1.1,6,1,3,0,3.0753,5,8.8266
1.1,16,1,10,0,2.0887,5,8.1491
1.1,4,2,10,0,1.9495,5,8.731
1.1,4,3,7,0,2.2541,5,8.7319
1.1,12,1,4,0,2.8493,5,8.5363
1.1,12,2,3,0,3.176,5,8.5047
1.1,16,3,7,0,2.4555,5,8.0155
1.1,2,2,1,3.2e-06,6.3385,5,8.9987
1.1,12,3,8,0,2.2277,5,8.1861
1.1,12,2,10,0,2.066,5,8.2386
1.1,2,3,5,0,2.3748,5,8.8824
1.1,6,3,1,0,6.4019,5,8.8867
1.1,4,2,9,0,2.0595,5,8.7454
1.1,12,3,5,0,2.5427,5,8.2869
1.1,2,1,6,0,2.2759,5,8.9371
1.1,10,3,9,0,2.1691,5,8.3034
1.1,12,3,4,0,2.9027,5,8.3754
1.1,10,3,2,0,4.2191,5,8.6419
1.1,10,3,5,0,2.5091,5,8.3978
1.1,6,3,2,0,4.1519,5,8.7914
1.1,16,3,6,0,2.5198,5,8.0406
1.1,6,1,2,0,4.1253,5,8.8959
1.1,12,2,4,0,2.876,5,8.453
1.1,8,3,7,0,2.3212,5,8.4793
1.1,4,1,3,0,3.0506,5,8.9061
1.1,2,1,2,6.4e-06,4.0828,5,8.9983
1.1,6,2,8,0,2.1136,5,8.6279
1.1,10,3,4,0,2.8691,5,8.4734
1.1,6,2,4,0,2.7886,5,8.7205
1.1,8,2,3,0,3.1177,5,8.6666
1.1,16,3,10,0,2.1598,5,7.8807
1.1,14,1,7,0,2.3597,5,8.341
1.1,10,3,9,0,2.1691,5,8.3034
1.1,6,3,8,0,2.1269,5,8.5738
1.1,12,1,2,0,4.1993,5,8.7221
1.1,6,1,4,0,2.7753,5,8.7897
1.1,16,1,3,0,3.1987,5,8.4493
1.1,12,1,9,0,2.1493,5,8.3798
1.1,14,3,9,0,2.2362,5,8.0541
1.1,16,1,6,0,2.4487,5,8.2742
1.1,14,1,3,0,3.174,5,8.5209
1.1,8,2,9,0,2.1177,5,8.5048
1.1,6,1,3,0,3.0753,5,8.8266
1.1,6,1,7,0,2.261,5,8.7118
1.1,10,3,5,0,2.5091,5,8.3978
1.1,6,2,10,0,1.9786,5,8.6025
1.1,14,2,9,0,2.2051,5,8.1678
1.1,16,2,4,0,2.9342,5,8.2852
1.1,6,1,3,0,3.0753,5,8.8266
1.1,6,1,10,0,1.9653,5,8.6609
1.1,8,3,2,0,4.1855,5,8.7138
1.1,8,1,5,0,2.4399,5,8.6471
1.1,10,3,10,0,2.0591,5,8.2662
1.1,4,2,4,0,2.7595,5,8.8227
1.1,6,3,10,0,1.9919,5,8.5449
1.1,6,2,8,0,2.1136,5,8.6279
1.1,12,1,7,0,2.335,5,8.4292
1.1,6,1,8,0,2.1003,5,8.6855
1.1,12,2,7,0,2.3617,5,8.334
1.1,8,1,10,0,1.9899,5,8.5534
1.1,2,2,10,0,1.9203,5,8.8677
1.1,4,2,5,0,2.3995,5,8.7883
1.1,16,2,8,0,2.2592,5,8.0717
1.1,6,2,10,0,1.9786,5,8.6025
1.1,12,3,5,0,2.5427,5,8.2869
1.1,10,3,7,0,2.3548,5,8.3584
1.1,4,1,5,0,2.3906,5,8.8455
1.1,16,2,7,0,2.4199,5,8.1333
1.1,16,3,5,0,2.6098,5,8.0737
1.1,14,2,7,0,2.3908,5,8.2324
1.1,2,3,3,0,3.0348,5,8.9203
1.1,4,1,10,0,1.9406,5,8.7782
1.1,14,3,10,0,2.1262,5,8.0052
1.1,12,1,6,0,2.3993,5,8.4444
1.1,8,2,10,0,2.0077,5,8.4777
1.1,10,1,10,0,2.0146,5,8.4486
1.1,10,3,6,0,2.4191,5,8.3754
1.1,12,3,3,0,3.2027,5,8.4339
1.1,6,2,2,0,4.1386,5,8.8336
1.1,12,3,2,0,4.2527,5,8.5737
1.1,8,1,3,0,3.0999,5,8.749
1.1,12,3,4,0,2.9027,5,8.3754
1.1,10,1,3,0,3.1246,5,8.6714
1.1,2,1,8,0,2.0509,5,8.9177
1.1,2,1,5,0,2.3659,5,8.9478
1.1,2,1,10,0,1.9159,5,8.9036
1.1,10,3,10,0,2.0591,5,8.2662
1.1,2,1,1,6.9333e-06,6.3634,5,8.9992
1.1,16,2,5,0,2.5742,5,8.1853
1.1,8,1,5,0,2.4399,5,8.6471
1.1,12,2,5,0,2.516,5,8.3748
1.1,4,3,10,0,1.9584,5,8.6914
1.1,6,3,9,0,2.1019,5,8.5687
1.1,14,2,9,0,2.2051,5,8.1678
1.1,2,2,10,0,1.9203,5,8.8677
1.1,6,1,3,0,3.0753,5,8.8266
1.1,6,2,3,0,3.0886,5,8.7567
1.1,12,2,9,0,2.176,5,8.2771
1.1,4,3,9,0,2.0684,5,8.7078
1.1,6,3,7,0,2.2876,5,8.6038
1.1,14,3,10,0,2.1262,5,8.0052
1.1,14,3,4,0,2.9362,5,8.2796
1.1,14,3,3,0,3.2362,5,8.3464
1.1,8,3,7,0,2.3212,5,8.4793
1.1,2,3,1,0,6.3348,5,8.9913
1.1,16,2,9,0,2.2342,5,8.0613
1.1,16,2,1,0,6.5342,5,8.7004
1.1,8,2,7,0,2.3034,5,8.5448
1.1,10,3,4,0,2.8691,5,8.4734
1.1,2,1,10,0,1.9159,5,8.9036
1.1,6,1,8,0,2.1003,5,8.6855
1.1,6,3,8,0,2.1269,5,8.5738
1.1,2,3,10,0,1.9248,5,8.843
1.1,16,3,9,0,2.2698,5,7.935
1.1,14,3,6,0,2.4862,5,8.1492
1.1,16,1,8,0,2.2237,5,8.2007
1.1,8,2,10,0,2.0077,5,8.4777
1.1,4,2,1,0,6.3595,5,8.9659
1.1,10,2,2,0,4.1968,5,8.6974
1.1,2,3,10,0,1.9248,5,8.843
1.1,14,1,1,0,6.474,5,8.8292
1.1,14,1,10,0,2.064,5,8.2465
1.1,16,1,9,0,2.1987,5,8.1916
1.1,8,1,8,0,2.1249,5,8.5818
1.1,4,2,8,0,2.0845,5,8.7485
1.1,16,3,4,0,2.9698,5,8.186
1.1,16,2,7,0,2.4199,5,8.1333
1.1,10,1,7,0,2.3103,5,8.5192
1.1,16,3,5,0,2.6098,5,8.0737
1.1,6,1,8,0,2.1003,5,8.6855
1.1,6,1,8,0,2.1003,5,8.6855
1.1,12,2,9,0,2.176,5,8.2771
1.1,16,3,5,0,2.6098,5,8.0737
1.1,4,1,5,0,2.3906,5,8.8455
1.1,14,3,4,0,2.9362,5,8.2796
1.1,6,1,4,0,2.7753,5,8.7897
1.1,6,2,2,0,4.1386,5,8.8336
1.1,8,1,3,0,3.0999,5,8.749
1.1,8,2,1,0,6.4177,5,8.8758
1.1,4,2,6,0,2.3095,5,8.775
1.1,4,2,7,0,2.2452,5,8.7665
1.1,10,3,2,0,4.2191,5,8.6419
1.1,16,1,8,0,2.2237,5,8.2007
1.1,16,2,5,0,2.5742,5,8.1853
1.1,10,3,3,0,3.1691,5,8.5232
1.1,16,1,8,0,2.2237,5,8.2007
1.1,6,1,2,0,4.1253,5,8.8959
1.1,16,1,8,0,2.2237,5,8.2007
1.1,6,3,7,0,2.2876,5,8.6038
1.1,2,2,3,0,3.0303,5,8.9442
1.1,4,2,4,0,2.7595,5,8.8227
1.1,2,1,5,0,2.3659,5,8.9478
1.1,12,3,5,0,2.5427,5,8.2869
1.1,12,2,3,0,3.176,5,8.5047
1.1,12,2,10,0,2.066,5,8.2386
1.1,12,2,4,0,2.876,5,8.453
1.1,4,2,7,0,2.2452,5,8.7665
1.1,10,3,8,0,2.1941,5,8.3114
1.1,4,2,8,0,2.0845,5,8.7485
1.1,14,2,9,0,2.2051,5,8.1678
1.1,12,1,10,0,2.0393,5,8.3464
1.1,2,1,7,0,2.2116,5,8.9286
1.1,4,3,6,0,2.3184,5,8.7393
1.1,14,1,3,0,3.174,5,8.5209
1.1,16,1,3,0,3.1987,5,8.4493
1.1,10,3,3,0,3.1691,5,8.5232
1.1,10,1,6,0,2.3746,5,8.5322
1.1,6,2,5,0,2.4286,5,8.6761
1.1,16,3,9,0,2.2698,5,7.935
1.1,2,3,3,0,3.0348,5,8.9203
1.1,10,1,5,0,2.4646,5,8.5493
1.1,6,2,4,0,2.7886,5,8.7205
1.1,10,3,9,0,2.1691,5,8.3034
1.1,10,2,4,0,2.8468,5,8.5395
1.1,2,1,7,0,2.2116,5,8.9286
1.1,8,1,6,0,2.3499,5,8.6252
1.1,6,1,7,0,2.261,5,8.7118
1.1,10,2,9,0,2.1469,5,8.3894
1.1,4,3,5,0,2.4083,5,8.7491
1.1,8,3,10,0,2.0255,5,8.4033
1.1,16,3,6,0,2.5198,5,8.0406
1.1,12,3,3,0,3.2027,5,8.4339
1.1,12,2,3,0,3.176,5,8.5047
1.1,8,2,7,0,2.3034,5,8.5448
1.1,12,3,7,0,2.3884,5,8.2409
1.1,2,2,5,0,2.3703,5,8.9081
1.1,6,1,6,0,2.3253,5,8.7261
1.1,10,2,6,0,2.3969,5,8.4531
1.1,2,1,5,0,2.3659,5,8.9478
1.1,10,2,6,0,2.3969,5,8.4531
1.1,8,1,9,0,2.0999,5,8.5768
1.1,6,2,6,0,2.3386,5,8.6637
1.1,12,2,8,0,2.201,5,8.2853
1.1,12,2,2,0,4.226,5,8.6311
1.1,2,2,9,0,2.0303,5,8.8766
1.1,14,3,6,0,2.4862,5,8.1492
1.1,12,3,9,0,2.2027,5,8.1769
1.1,4,1,8,0,2.0756,5,8.8002
1.1,6,2,9,0,2.0886,5,8.6234
1.1,6,3,10,0,1.9919,5,8.5449
1.1,8,1,2,0,4.1499,5,8.8373
1.1,14,3,7,0,2.4219,5,8.1267
1.1,4,2,1,0,6.3595,5,8.9659
1.1,4,2,9,0,2.0595,5,8.7454
1.1,12,1,9,0,2.1493,5,8.3798
1.1,4,3,3,0,3.0684,5,8.8118
1.1,10,3,1,0,6.4691,5,8.7841
1.1,16,3,7,0,2.4555,5,8.0155
1.1,8,3,10,0,2.0255,5,8.4033
1.1,8,1,5,0,2.4399,5,8.6471
1.1,2,3,6,0,2.2848,5,8.8736
1.1,6,2,10,0,1.9786,5,8.6025
1.1,12,3,2,0,4.2527,5,8.5737
1.1,6,3,8,0,2.1269,5,8.5738
1.1,8,3,7,0,2.3212,5,8.4793
1.1,4,1,1,3.2e-06,6.3644,5,8.9978
1.1,2,3,2,0,4.0848,5,8.9523
1.1,6,3,4,0,2.8019,5,8.6765
1.1,10,1,6,0,2.3746,5,8.5322
1.1,8,3,2,0,4.1855,5,8.7138
1.1,16,2,8,0,2.2592,5,8.0717
1.1,8,3,5,0,2.4755,5,8.5117
1.1,10,1,7,0,2.3103,5,8.5192
1.1,4,3,6,0,2.3184,5,8.7393
1.1,4,3,1,0,6.3683,5,8.9388
1.1,6,2,6,0,2.3386,5,8.6637
1.1,2,1,1,6.9333e-06,6.3634,5,8.9992
1.1,8,1,3,0,3.0999,5,8.749
1.1,12,3,10,0,2.0927,5,8.1336
1.1,8,3,1,0,6.4355,5,8.8356
1.1,12,3,4,0,2.9027,5,8.3754
1.1,12,1,6,0,2.3993,5,8.4444
1.1,6,1,7,0,2.261,5,8.7118
1.1,10,1,4,0,2.8246,5,8.619
1.1,8,2,7,0,2.3034,5,8.5448
1.1,4,3,9,0,2.0684,5,8.7078
1.1,6,2,5,0,2.4286,5,8.6761
1.1,2,2,4,0,2.7303,5,8.927
1.1,4,3,7,0,2.2541,5,8.7319
1.1,10,3,1,0,6.4691,5,8.7841
1.1,16,1,3,0,3.1987,5,8.4493
1.1,8,1,3,0,3.0999,5,8.749
1.1,16,2,9,0,2.2342,5,8.0613
1.1,10,3,3,0,3.1691,5,8.5232
1.1,2,2,2,0,4.0803,5,8.9734
1.1,6,1,3,0,3.0753,5,8.8266
1.1,16,2,3,0,3.2342,5,8.3515
1.1,6,2,8,0,2.1136,5,8.6279
1.1,6,2,10,0,1.9786,5,8.6025
1.1,2,2,6,0,2.2803,5,8.8993
1.1,16,1,2,0,4.2487,5,8.6096
1.1,16,3,2,0,4.3198,5,8.4404
1.1,16,1,4,0,2.8987,5,8.3869
1.1,12,1,9,0,2.1493,5,8.3798
1.1,16,2,3,0,3.2342,5,8.3515
1.1,10,3,7,0,2.3548,5,8.3584
1.1,2,3,3,0,3.0348,5,8.9203
1.1,4,2,3,0,3.0595,5,8.8499
1.1,4,2,2,0,4.1095,5,8.903
1.1,14,2,4,0,2.9051,5,8.3683
1.1,16,3,5,0,2.6098,5,8.0737
1.1,2,2,9,0,2.0303,5,8.8766
1.1,16,2,5,0,2.5742,5,8.1853
1.1,2,3,6,0,2.2848,5,8.8736
1.1,6,2,9,0,2.0886,5,8.6234
1.1,8,3,10,0,2.0255,5,8.4033
1.1,2,1,5,0,2.3659,5,8.9478
1.1,14,2,2,0,4.2551,5,8.5687
1.1,16,1,4,0,2.8987,5,8.3869
1.1,14,3,7,0,2.4219,5,8.1267
1.1,8,1,3,0,3.0999,5,8.749
1.1,8,2,6,0,2.3677,5,8.5571
1.1,8,2,6,0,2.3677,5,8.5571
1.1,4,1,2,0,4.1006,5,8.9552
1.1,12,2,2,0,4.226,5,8.6311
1.1,6,3,2,0,4.1519,5,8.7914
1.1,14,3,2,0,4.2862,5,8.5065
1.1,16,1,8,0,2.2237,5,8.2007
1.1,12,3,10,0,2.0927,5,8.1336
1.1,2,2,5,0,2.3703,5,8.9081
1.1,6,1,10,0,1.9653,5,8.6609
1.1,16,3,8,0,2.2948,5,7.9466
1.1,8,2,8,0,2.1427,5,8.5106
1.1,2,2,6,0,2.2803,5,8.8993
1.1,16,1,7,0,2.3844,5,8.2546
1.1,4,1,1,3.2e-06,6.3644,5,8.9978
1.1,14,1,8,0,2.199,5,8.2928
1.1,10,1,10,0,2.0146,5,8.4486
1.1,6,2,10,0,1.9786,5,8.6025
1.1,8,3,2,0,4.1855,5,8.7138
1.1,14,3,8,0,2.2612,5,8.0646
1.1,8,3,6,0,2.3855,5,8.4933
1.1,10,1,8,0,2.1496,5,8.4832
1.1,2,1,10,0,1.9159,5,8.9036
1.1,2,3,5,0,2.3748,5,8.8824
1.1,4,1,10,0,1.9406,5,8.7782
1.1,4,2,2,0,4.1095,5,8.903
1.1,10,2,2,0,4.1968,5,8.6974
1.1,2,2,9,0,2.0303,5,8.8766
1.1,6,3,8,0,2.1269,5,8.5738
1.1,16,3,7,0,2.4555,5,8.0155
1.1,12,3,9,0,2.2027,5,8.1769
1.1,16,2,4,0,2.9342,5,8.2852
1.1,16,3,1,0,6.5698,5,8.6353
1.1,6,1,4,0,2.7753,5,8.7897
1.1,10,1,5,0,2.4646,5,8.5493
1.1,2,2,4,0,2.7303,5,8.927
1.1,2,3,8,0,2.0598,5,8.8546
1.1,4,1,2,0,4.1006,5,8.9552
1.1,2,2,7,0,2.216,5,8.8922
1.1,16,3,2,0,4.3198,5,8.4404
1.1,2,2,9,0,2.0303,5,8.8766
1.1,12,1,2,0,4.1993,5,8.7221
1.1,16,1,1,0,6.4987,5,8.7921
1.1,12,2,8,0,2.201,5,8.2853
1.1,2,3,3,0,3.0348,5,8.9203
1.1,12,1,10,0,2.0393,5,8.3464
1.1,6,3,3,0,3.1019,5,8.7078
1.1,14,2,7,0,2.3908,5,8.2324
1.1,6,2,10,0,1.9786,5,8.6025
1.1,12,2,8,0,2.201,5,8.2853
1.1,6,2,8,0,2.1136,5,8.6279
1.1,10,3,2,0,4.2191,5,8.6419
1.1,4,3,3,0,3.0684,5,8.8118
1.1,8,2,5,0,2.4577,5,8.5733
1.1,4,1,2,0,4.1006,5,8.9552
1.1,8,2,3,0,3.1177,5,8.6666
1.1,12,2,7,0,2.3617,5,8.334
1.1,2,1,8,0,2.0509,5,8.9177
1.1,12,3,6,0,2.4527,5,8.2608
1.1,4,3,7,0,2.2541,5,8.7319
1.1,16,2,4,0,2.9342,5,8.2852
1.1,14,1,10,0,2.064,5,8.2465
1.1,8,1,1,0,6.3999,5,8.9426
1.1,10,1,10,0,2.0146,5,8.4486
1.1,12,2,3,0,3.176,5,8.5047
1.1,14,1,6,0,2.424,5,8.3584
1.1,10,1,4,0,2.8246,5,8.619
1.1,16,2,9,0,2.2342,5,8.0613
1.1,10,1,1,0,6.4246,5,8.9039
1.1,8,3,7,0,2.3212,5,8.4793
1.1,6,2,2,0,4.1386,5,8.8336
1.1,2,2,4,0,2.7303,5,8.927
1.1,6,1,10,0,1.9653,5,8.6609
1.1,8,3,8,0,2.1605,5,8.4405
1.1,14,3,6,0,2.4862,5,8.1492
1.1,6,3,9,0,2.1019,5,8.5687
1.1,2,1,7,0,2.2116,5,8.9286
1.1,6,1,6,0,2.3253,5,8.7261
1.1,2,1,4,0,2.7259,5,8.9663
1.1,2,2,2,0,4.0803,5,8.9734
1.1,12,3,6,0,2.4527,5,8.2608
1.1,10,2,4,0,2.8468,5,8.5395
1.1,2,3,10,0,1.9248,5,8.843
1.1,16,3,3,0,3.2698,5,8.2607
1.1,6,2,6,0,2.3386,5,8.6637
1.1,10,1,6,0,2.3746,5,8.5322
1.1,6,1,10,0,1.9653,5,8.6609
1.1,12,2,2,0,4.226,5,8.6311
1.1,6,1,4,0,2.7753,5,8.7897
1.1,12,3,2,0,4.2527,5,8.5737
1.1,16,3,2,0,4.3198,5,8.4404
1.1,14,3,9,0,2.2362,5,8.0541
1.1,10,2,9,0,2.1469,5,8.3894
1.1,16,1,2,0,4.2487,5,8.6096
1.1,14,1,7,0,2.3597,5,8.341
1.1,14,2,8,0,2.2301,5,8.1771
1.1,8,3,5,0,2.4755,5,8.5117
1.1,10,1,3,0,3.1246,5,8.6714
1.1,14,1,5,0,2.514,5,8.3814
1.1,12,2,1,0,6.476,5,8.7873
1.1,12,1,3,0,3.1493,5,8.5955
1.1,2,2,6,0,2.2803,5,8.8993
1.1,2,1,5,0,2.3659,5,8.9478
1.1,4,3,10,0,1.9584,5,8.6914
1.1,8,1,6,0,2.3499,5,8.6252
1.1,14,2,7,0,2.3908,5,8.2324
1.1,8,3,3,0,3.1355,5,8.6145
1.1,2,2,2,0,4.0803,5,8.9734
1.1,16,3,7,0,2.4555,5,8.0155
1.1,8,3,6,0,2.3855,5,8.4933
1.1,12,2,4,0,2.876,5,8.453
1.1,12,3,4,0,2.9027,5,8.3754
1.1,14,2,4,0,2.9051,5,8.3683
1.1,8,3,8,0,2.1605,5,8.4405
1.1,14,2,5,0,2.5451,5,8.2789
1.1,14,1,1,0,6.474,5,8.8292
1.1,2,3,10,0,1.9248,5,8.843
1.1,8,2,7,0,2.3034,5,8.5448
1.1,4,1,5,0,2.3906,5,8.8455
1.1,8,1,8,0,2.1249,5,8.5818
1.1,16,1,8,0,2.2237,5,8.2007
1.1,4,1,5,0,2.3906,5,8.8455
1.1,4,2,6,0,2.3095,5,8.775
1.1,12,3,1,0,6.5027,5,8.7336
1.1,12,3,10,0,2.0927,5,8.1336
1.1,8,2,10,0,2.0077,5,8.4777
1.1,8,1,4,0,2.7999,5,8.7038
1.1,2,2,2,0,4.0803,5,8.9734
1.1,6,1,1,0,6.3753,5,8.9809
1.1,14,2,4,0,2.9051,5,8.3683
1.1,10,2,2,0,4.1968,5,8.6974
1.1,6,3,9,0,2.1019,5,8.5687
1.1,2,2,9,0,2.0303,5,8.8766
1.1,16,3,10,0,2.1598,5,7.8807
1.1,10,1,1,0,6.4246,5,8.9039
1.1,16,2,9,0,2.2342,5,8.0613
1.1,16,3,8,0,2.2948,5,7.9466
1.1,16,3,8,0,2.2948,5,7.9466
1.1,4,1,2,0,4.1006,5,8.9552
1.1,6,3,4,0,2.8019,5,8.6765
1.1,16,1,2,0,4.2487,5,8.6096
1.1,8,3,2,0,4.1855,5,8.7138
1.1,4,1,5,0,2.3906,5,8.8455
1.1,2,2,2,0,4.0803,5,8.9734
1.1,14,2,9,0,2.2051,5,8.1678
1.1,2,2,2,0,4.0803,5,8.9734
1.1,8,2,4,0,2.8177,5,8.6278
1.1,16,3,7,0,2.4555,5,8.0155
1.1,16,3,6,0,2.5198,5,8.0406
1.1,12,3,9,0,2.2027,5,8.1769
1.1,14,1,4,0,2.874,5,8.4589
1.1,8,1,2,0,4.1499,5,8.8373
1.1,4,3,10,0,1.9584,5,8.6914
1.1,14,1,8,0,2.199,5,8.2928
1.1,4,2,9,0,2.0595,5,8.7454
1.1,4,2,7,0,2.2452,5,8.7665
1.1,14,1,6,0,2.424,5,8.3584
1.1,16,3,7,0,2.4555,5,8.0155
1.1,14,1,3,0,3.174,5,8.5209
1.1,8,3,5,0,2.4755,5,8.5117
1.1,16,3,4,0,2.9698,5,8.186
1.1,4,3,9,0,2.0684,5,8.7078
1.1,2,3,2,0,4.0848,5,8.9523
1.1,10,3,3,0,3.1691,5,8.5232
1.1,2,3,1,0,6.3348,5,8.9913
1.1,12,2,5,0,2.516,5,8.3748
1.1,4,3,2,0,4.1183,5,8.8715
1.1,8,3,3,0,3.1355,5,8.6145
1.1,8,3,10,0,2.0255,5,8.4033
1.1,2,2,1,3.2e-06,6.3385,5,8.9987
1.1,12,2,4,0,2.876,5,8.453
1.1,6,1,8,0,2.1003,5,8.6855
1.1,16,3,6,0,2.5198,5,8.0406
1.1,16,2,1,0,6.5342,5,8.7004
1.1,8,1,3,0,3.0999,5,8.749
1.1,2,3,8,0,2.0598,5,8.8546
1.1,2,1,1,6.9333e-06,6.3634,5,8.9992
1.1,2,2,5,0,2.3703,5,8.9081
1.1,8,2,9,0,2.1177,5,8.5048
1.1,2,3,8,0,2.0598,5,8.8546
1.1,6,3,10,0,1.9919,5,8.5449
1.1,16,1,2,0,4.2487,5,8.6096
1.1,6,1,1,0,6.3753,5,8.9809
1.1,4,1,10,0,1.9406,5,8.7782
1.1,12,1,9,0,2.1493,5,8.3798
1.1,12,3,6,0,2.4527,5,8.2608
1.1,8,2,1,0,6.4177,5,8.8758
1.1,4,1,8,0,2.0756,5,8.8002
1.1,2,2,3,0,3.0303,5,8.9442
1.1,10,3,7,0,2.3548,5,8.3584
1.1,8,1,5,0,2.4399,5,8.6471
1.1,10,1,1,0,6.4246,5,8.9039
1.1,10,3,4,0,2.8691,5,8.4734
1.1,14,1,7,0,2.3597,5,8.341
1.1,14,1,5,0,2.514,5,8.3814
1.1,8,2,2,0,4.1677,5,8.7652
1.1,2,1,5,0,2.3659,5,8.9478
1.1,8,3,4,0,2.8355,5,8.5737
1.1,6,1,10,0,1.9653,5,8.6609
1.1,2,3,3,0,3.0348,5,8.9203
1.1,2,3,8,0,2.0598,5,8.8546
1.1,16,2,5,0,2.5742,5,8.1853
1.1,6,2,5,0,2.4286,5,8.6761
1.1,10,3,10,0,2.0591,5,8.2662
1.1,14,1,9,0,2.174,5,8.2847
1.1,10,1,8,0,2.1496,5,8.4832
1.1,14,1,5,0,2.514,5,8.3814
1.1,16,1,5,0,2.5387,5,8.2999
1.1,4,1,5,0,2.3906,5,8.8455
1.1,2,1,5,0,2.3659,5,8.9478
1.1,6,2,3,0,3.0886,5,8.7567
1.1,16,2,9,0,2.2342,5,8.0613
1.1,4,1,6,0,2.3006,5,8.8309
1.1,2,3,2,0,4.0848,5,8.9523
1.1,4,3,1,0,6.3683,5,8.9388
1.1,10,3,10,0,2.0591,5,8.2662
1.1,6,3,5,0,2.4419,5,8.6288
1.1,16,2,10,0,2.1242,5,8.0127
1.1,2,1,2,6.4e-06,4.0828,5,8.9983
1.1,4,3,7,0,2.2541,5,8.7319
1.1,14,2,2,0,4.2551,5,8.5687
1.1,14,1,9,0,2.174,5,8.2847
1.1,14,3,8,0,2.2612,5,8.0646
1.1,10,3,3,0,3.1691,5,8.5232
1.1,2,2,2,0,4.0803,5,8.9734
1.1,10,2,6,0,2.3969,5,8.4531
1.1,10,3,6,0,2.4191,5,8.3754
1.1,8,2,1,0,6.4177,5,8.8758
1.1,8,1,8,0,2.1249,5,8.5818
1.1,12,1,1,0,6.4493,5,8.8668
1.1,14,3,7,0,2.4219,5,8.1267
1.1,6,3,9,0,2.1019,5,8.5687
1.1,8,1,7,0,2.2856,5,8.6112
1.1,4,1,2,0,4.1006,5,8.9552
1.1,4,1,5,0,2.3906,5,8.8455
1.1,8,3,3,0,3.1355,5,8.6145
1.1,6,2,8,0,2.1136,5,8.6279
1.1,16,2,4,0,2.9342,5,8.2852
1.1,10,2,3,0,3.1469,5,8.5834
1.1,14,2,8,0,2.2301,5,8.1771
1.1,8,3,8,0,2.1605,5,8.4405
1.1,6,1,7,0,2.261,5,8.7118
1.1,8,3,4,0,2.8355,5,8.5737
1.1,12,2,3,0,3.176,5,8.5047
1.1,8,2,5,0,2.4577,5,8.5733
1.1,2,3,2,0,4.0848,5,8.9523
1.1,2,2,2,0,4.0803,5,8.9734
1.1,2,2,7,0,2.216,5,8.8922
1.1,8,2,1,0,6.4177,5,8.8758
1.1,10,1,3,0,3.1246,5,8.6714
1.1,4,1,9,0,2.0506,5,8.7929
1.1,2,2,7,0,2.216,5,8.8922
1.1,6,2,8,0,2.1136,5,8.6279
1.1,14,1,3,0,3.174,5,8.5209
1.1,8,1,8,0,2.1249,5,8.5818
1.1,2,1,10,0,1.9159,5,8.9036
1.1,10,3,4,0,2.8691,5,8.4734
1.1,6,1,1,0,6.3753,5,8.9809
1.1,12,3,6,0,2.4527,5,8.2608
1.1,12,3,6,0,2.4527,5,8.2608
1.1,16,3,3,0,3.2698,5,8.2607
1.1,16,3,6,0,2.5198,5,8.0406
1.1,14,3,9,0,2.2362,5,8.0541
1.1,10,3,1,0,6.4691,5,8.7841
1.1,14,1,6,0,2.424,5,8.3584
1.1,10,1,8,0,2.1496,5,8.4832
1.1,16,2,3,0,3.2342,5,8.3515
1.1,2,3,1,0,6.3348,5,8.9913
1.1,6,2,2,0,4.1386,5,8.8336
1.1,8,1,9,0,2.0999,5,8.5768
1.1,10,2,6,0,2.3969,5,8.4531
1.1,14,2,8,0,2.2301,5,8.1771
1.1,14,1,5,0,2.514,5,8.3814
1.1,6,3,1,0,6.4019,5,8.8867
1.1,10,2,3,0,3.1469,5,8.5834
1.1,10,1,2,0,4.1746,5,8.7788
1.1,16,2,2,0,4.2842,5,8.5104
1.1,2,3,10,0,1.9248,5,8.843
1.1,6,1,9,0,2.0753,5,8.6788
1.1,8,1,7,0,2.2856,5,8.6112
1.1,2,1,6,0,2.2759,5,8.9371
1.1,16,1,2,0,4.2487,5,8.6096
1.1,2,3,8,0,2.0598,5,8.8546
1.1,14,1,7,0,2.3597,5,8.341
1.1,2,1,4,0,2.7259,5,8.9663
1.1,8,1,7,0,2.2856,5,8.6112
1.1,10,2,10,0,2.0369,5,8.3564
1.1,4,2,9,0,2.0595,5,8.7454
1.1,6,1,1,0,6.3753,5,8.9809
1.1,2,1,3,0,3.0259,5,8.9866
1.1,6,2,6,0,2.3386,5,8.6637
1.1,4,2,4,0,2.7595,5,8.8227
1.1,12,2,5,0,2.516,5,8.3748
1.1,10,2,1,0,6.4468,5,8.831
1.1,2,2,10,0,1.9203,5,8.8677
1.1,4,2,1,0,6.3595,5,8.9659
1.1,2,2,7,0,2.216,5,8.8922
